184, 180, 175, 173, 170, 169, 167, 160, 154, 148, 142, 134, 121, 112, 106, 104, 101,  97,  94,  88
191, 188, 186, 185, 183, 183, 180, 176, 173, 161, 143, 124, 133, 133, 124, 113, 108, 110, 105,  97
190, 188, 187, 185, 185, 184, 183, 182, 177, 122,  92,  91, 104, 135, 100,  78,  74,  95, 117, 111
197, 194, 193, 192, 193, 195, 197, 201, 159,  96, 104, 110, 107, 100,  72,  63,  62,  59, 100, 123
213, 210, 209, 210, 210, 211, 213, 218, 154,  97, 100, 105,  89,  84,  72,  66,  61,  45,  93, 150
225, 225, 225, 224, 225, 224, 225, 230, 167,  94, 108, 102,  82,  80,  71,  72,  61,  49,  90, 167
231, 231, 231, 233, 230, 231, 228, 241, 200, 122, 103,  78,  75,  77,  63,  64,  59,  59, 153, 189
225, 225, 230, 227, 222, 228, 232, 232, 227, 182, 106,  74,  68,  69,  72,  57,  49, 130, 200, 198
181, 188, 199, 208, 213, 212, 212, 213, 214, 215, 185, 121,  74,  62,  68,  94, 136, 179, 167, 161
139, 149, 158, 169, 180, 185, 176, 173, 185, 203, 213, 208, 159,  97, 151, 192, 184, 166, 148, 136
109, 118, 121, 120, 118, 117, 119, 124, 138, 165, 182, 184, 185, 137, 178, 163, 145, 128, 116, 108
77,  82,  85,  85,  86,  89,  97, 105, 116, 128, 132, 131, 132, 121, 135, 125, 121, 119, 110, 102
72,  74,  77,  79,  86,  90,  94,  95,  99,  99,  98, 102,  99, 110, 103, 109, 102, 103, 101,  97
71,  72,  72,  72,  74,  76,  80,  77,  77,  80,  87,  77,  87,  98,  83,  85,  95,  86,  82,  84
66,  66,  66,  67,  68,  69,  61,  63,  70,  74,  68,  56,  80,  81,  81,  60,  75,  83,  79,  71
64,  65,  68,  60,  52,  51,  58,  61,  61,  61,  44,  56,  71,  69,  72,  64,  42,  66,  74,  73
64,  61,  48,  44,  57,  60,  59,  56,  56,  43,  33,  66,  70,  68,  70,  74,  49,  41,  64,  71
43,  42,  47,  61,  59,  55,  54,  54,  47,  25,  43,  64,  63,  67,  64,  69,  68,  38,  41,  64
41,  58,  57,  51,  53,  54,  51,  47,  27,  26,  59,  61,  65,  66,  58,  62,  68,  60,  34,  46
52,  46,  51,  48,  43,  46,  45,  34,  17,  37,  60,  56,  59,  59,  64,  57,  60,  65,  48,  29
