14,  15,  17,  18,  18,  19,  21,  23,  25,  24,  24,  23,  21,  18,  17,  14,  12,  11,  10,   8
22,  23,  24,  26,  26,  26,  27,  28,  29,  29,  28,  26,  24,  22,  20,  18,  14,  13,  11,  11
29,  30,  31,  32,  32,  31,  33,  35,  34,  33,  32,  30,  28,  26,  24,  23,  22,  19,  18,  17
31,  35,  37,  39,  40,  40,  41,  44,  42,  41,  41,  38,  35,  32,  29,  29,  28,  26,  26,  27
39,  41,  48,  51,  53,  54,  55,  55,  55,  54,  53,  48,  41,  37,  36,  36,  37,  37,  38,  41
47,  48,  51,  55,  60,  62,  63,  63,  70,  74,  70,  65,  59,  64,  74,  86,  95,  93,  80,  75
84,  77,  72,  74,  82, 101, 113, 127, 145, 151, 140, 142, 140, 145, 153, 155, 153, 130,  91,  88
139, 139, 142, 143, 147, 154, 167, 173, 178, 173, 164, 163, 160, 159, 156, 151, 144, 143, 134, 137
113, 144, 155, 160, 164, 168, 181, 194, 197, 181, 172, 170, 167, 164, 158, 153, 152, 154, 150, 145
16,  79, 140, 139, 169, 180, 197, 225, 236, 210, 191, 183, 178, 171, 164, 162, 163, 163, 160, 153
2,  16,  46,  54,  98, 122, 152, 206, 227, 185, 155, 135, 121, 112, 111, 114, 111, 108, 110, 111
1,   2,   9,  15,  36,  76, 143, 197, 214, 158, 132, 118, 103,  91,  87,  85,  80,  75,  71,  66
1,  39,  81,  84, 134, 152, 170, 210, 227, 181, 160, 155, 153, 145, 137, 134, 133, 133, 129, 122
33,  97, 126, 122, 131, 131, 143, 166, 172, 148, 142, 138, 135, 132, 128, 123, 123, 123, 121, 115
103, 108, 108, 106, 104, 103, 114, 121, 124, 114, 110, 113, 114, 111, 106, 104, 100, 100,  98,  96
60,  49,  52,  52,  67,  82,  95, 102, 110, 108,  98,  99, 101, 100,  98,  96,  92,  88,  74,  79
12,  13,  12,  17,  25,  31,  38,  52,  68,  64,  60,  62,  63,  70,  82,  87,  89,  82,  50,  41
7,   5,   6,   8,   9,  11,  13,  28,  32,  17,  18,  15,  12,  14,  19,  30,  37,  40,  34,  27
2,   3,   4,   4,   4,   4,   4,  14,  17,   5,   6,   6,   5,   5,   2,   2,   2,   3,   3,   3
2,   2,   2,   2,   2,   2,   2,   3,   4,   1,   2,   2,   2,   1,   1,   1,   1,   1,   1,   1
