29,  29,  30,  32,  33,  34,  34,  34,  35,  35,  36,  36,  35,  35,  35,  36,  38,  39,  38,  37
29,  29,  29,  31,  32,  33,  33,  34,  36,  37,  38,  39,  39,  39,  38,  42,  45,  50,  51,  50
33,  31,  31,  31,  32,  33,  35,  37,  39,  41,  44,  45,  48,  48,  70,  66,  73,  67,  69,  72
41,  39,  37,  37,  37,  38,  40,  43,  46,  50,  57,  54, 112, 149, 144, 141, 183, 103, 101, 101
54,  51,  50,  50,  49,  49,  51,  53,  55,  58, 139, 156, 150, 222, 176, 193, 203, 144, 184, 145
74,  72,  71,  70,  69,  68,  69,  69,  96, 104, 148, 229, 198, 226, 183, 212, 195, 196, 192, 158
97,  96,  97,  97,  96,  95,  93,  95, 147, 208, 185, 219, 229, 229, 197, 208, 200, 195, 172, 173
120, 122, 124, 125, 126, 127, 123, 143, 195, 212, 229, 219, 228, 228, 205, 196, 189, 178, 184, 189
139, 140, 144, 149, 152, 153, 152, 154, 181, 212, 222, 226, 221, 201, 174, 173, 178, 187, 191, 196
149, 151, 154, 159, 165, 170, 170, 185, 220, 236, 230, 218, 211, 150, 121, 152, 175, 185, 194, 201
152, 152, 153, 159, 168, 177, 183, 184, 190, 200, 215, 220, 218, 165, 132, 152, 183, 187, 181, 172
148, 147, 148, 153, 163, 175, 184, 185, 191, 210, 220, 223, 218, 206, 187, 186, 194, 192, 187, 187
144, 141, 140, 144, 154, 167, 176, 179, 194, 202, 216, 210, 210, 214, 221, 199, 193, 199, 189, 165
141, 136, 132, 133, 142, 155, 163, 165, 162, 190, 191, 194, 204, 209, 225, 206, 186, 191, 193, 182
138, 130, 124, 122, 128, 139, 146, 147, 144, 143, 164, 182, 193, 192, 222, 211, 172, 178, 166, 156
131, 123, 115, 110, 112, 119, 126, 128, 123, 115, 117, 151, 164, 176, 197, 193, 164, 134, 157, 103
122, 115, 105,  99,  97, 101, 106, 108, 107, 102,  95, 102,  93, 141, 127, 126, 130,  95,  95,  85
111, 105,  97,  90,  87,  88,  91,  94,  95,  92,  88,  81,  76,  74,  74,  77,  81,  81,  75,  68
101,  97,  91,  85,  82,  82,  84,  87,  87,  86,  82,  76,  70,  65,  64,  65,  67,  66,  61,  54
94,  92,  88,  84,  81,  81,  83,  84,  84,  82,  77,  71,  64,  59,  58,  57,  58,  56,  51,  45
