101, 100,  99,  98,  98,  96,  94,  92,  89,  85,  83,  86,  88,  87,  86,  89,  91,  92,  92,  93
123, 121, 118, 113, 110, 107, 105, 102, 100,  96,  95,  96,  97,  97,  98, 107, 103,  99,  99, 102
148, 147, 144, 140, 136, 132, 128, 123, 118, 113, 110, 109, 108, 108, 108, 111, 111, 112, 116, 121
201, 169, 162, 160, 157, 154, 151, 147, 144, 140, 138, 134, 132, 131, 130, 131, 133, 135, 137, 141
167, 173, 184, 179, 176, 172, 169, 166, 163, 161, 159, 157, 156, 152, 151, 151, 152, 153, 158, 104
87, 126, 203, 201, 195, 191, 189, 188, 185, 181, 178, 176, 172, 170, 169, 168, 174, 182, 137,  20
92,  89, 135, 207, 218, 210, 207, 214, 228, 202, 198, 194, 184, 185, 193, 192, 190, 203,  62,   0
85,  83,  71, 121, 217, 230, 180, 110, 180, 215, 217, 216, 207, 203, 125, 169, 232, 150,   7,   0
18,  37,  51,  61, 124, 150,  63,  59, 101, 154, 194, 159,  89,  74,  23,  30,  88,  14,   0,   0
0,   0,   7,  25,  43,  49,  31,  20,  17,  58, 103,  55,  25,  14,   9,   3,   0,   0,   0,   0
3,  10,  17,  23,  60,  80,  22,  35,  54, 108, 149, 107,  44,  48,  13,   8,  21,   0,   0,   0
21,  24,  19,  52, 149, 169,  92,  39,  99, 139, 150, 139, 110, 131,  46, 100, 164,  40,   0,   0
67,  68,  72, 133, 157, 138, 129, 154, 182, 125, 115, 113, 111, 112, 116, 118, 121, 116,  51,  47
180, 192, 201, 201, 198, 194, 196, 195, 191, 185, 187, 188, 187, 182, 178, 179, 174, 170, 162, 153
176, 185, 191, 192, 182, 176, 174, 171, 174, 178, 179, 183, 170, 164, 156, 154, 159, 157, 149, 132
150, 162, 170, 160, 152, 159, 155, 157, 159, 161, 158, 164, 165, 152, 144, 136, 129, 130, 124, 111
109, 123, 122, 124, 127, 139, 141, 142, 141, 137, 134, 131, 151, 148, 141, 131, 128, 122, 106,  93
73,  79,  87,  98, 112, 112, 116, 114, 111, 109, 104,  99, 122, 134, 126, 112, 102, 104, 100,  81
42,  45,  54,  61,  68,  73,  75,  73,  71,  71,  65,  59,  71, 105,  97,  83,  71,  70,  70,  66
20,  28,  36,  31,  37,  39,  48,  46,  42,  40,  37,  31,  31,  63,  61,  59,  43,  38,  39,  29
